Final Material,Author,Title,Year,Cited References (#),Times Cited (#),Formation Method,Anna's Notes,Si Precursor,Si Precursor Concentration (M),Additional Si Co-Precursor(s),Si Co-Precursor Concentration (M),Hybrid Aerogel Co-Precursor,Co-Precursor Concentration (M),Dopant,Dopant Concentration (M),Solvent 1,Solvent 1 Concentration (M),Solvent 2,Solvent 2 Concentration (M),Additional Solvents,Additional Solvents Concentrations (M),Acid Catalyst,Acid Catalyst Initial Concentration (M),Acid Catalyst concentration in Sol(M),Base Catalyst,Base Catalyst Initial Concentration(M),Base Catalyst concentration in Sol (M),Hydrolysis Time (hr),Modifier,Modifier Concentration (M),Modifier Solvent,Modifier Solvent (M),Surfactant,Surfactant Concentration (M),Sol 1,Sol 1 Stir rate (rpm),Sol 1 Stir Time (min),Sol 1 Standing time (hr),Sol 1 Temp (°C),pH Sol 1,Sol 2,Sol 2 Stir rate (rpm),Sol 2 Stir Time (min),Sol 2 Standing time (hr),Sol 2 Temp (°C),pH Sol 2,Sol Notes,Gelation Agent,Gelation Agent (M),pH final sol,Gelation Temp (°C),Gelation Pressure (MPa),Gelation Time (mins),Aging Conditions,Aging Temp (°C),Aging Time (hrs),Aging Conditions 2,Aging Temp 2 (°C),Aging Time 2 (hrs),Wash Solvent 1,Wash Times 1 (#),Wash Duration 1 (days),Wash Temp 1 (°C),Wash Solvent 2,Wash Times 2 (#),Wash Duration 2 (days),Wash Temp 2 (°C),Wash Solvent 3,Wash Times 3 (#),Wash Duration 3 (days),Wash Temp 3 (°C),Wash Solvent 4,Wash Times 4 (#),Wash Duration 4 (days),Wash Temp 4 (°C),Gelation/Washing Notes,Drying Method,Drying Solvent,Drying Temp 1 (°C),Drying Pressure 1 (MPa),Drying Time 1 (hrs),Drying Atmosphere 1,Drying Temp 2 (°C),Drying Pressure 2 (MPa),Drying Time 2 (hrs),Drying Atmosphere 2,Drying Temp 3 (°C),Drying Time 3 (hrs),Drying Pressure 3 (MPa),Drying Temp 4 (°C),Drying Time 4 (hrs),Drying Pressure 4 (MPa),Drying Temp 5 (°C),Drying Time 5 (hrs),Drying Pressure 5 (MPa),Drying Notes,Sintering Temp (°C),Sintering Time (min),Ramp Rate (°C/min),Sintering Atmosphere,Sintering Notes,SEM?,SEM Instrument,Why SEM?,SEM Column,Acceleration Voltage (kV),Emission Current (mA),TEM?,TEM Instrument,Why TEM?,AFM?,AFM Instrument,Why AFM?,AFM Sample PREP,N2 Adsorption-Desorption Isotherms?,N2 A-D Instrument,Why N2 A-D?,Analysis (°C),Analysis Pressure (psi),Degas (°C),Degas Time (min),Degas Gas,BET/BJH?,Why BET/BJH?,XPS?,XPS Instrument,XPS info,Why XPS?,XRD?,XRD Instrument,Radiation,Why XRD?,XRD 2θ Range (°),XRD Increment (°/step),XRD Rate (°/min),XRD Wavelength (Å),kV,mA,FT-IR?,FT-IR Instrument,Why FTIR?,Range (cm-1),Resolution                 (cm-1),Scans (#),TGA?,TGA Instrument,Why TGA?,TGA Temperature (°C),TGA Atmosphere,TGA Ramp Rate (°C/min),Density?,Density Instrument,Medium,Hardness/Compressive Strength?,Hardness Instrument,Load (N),Dwell Time (s),Electrical Conductivty?,Electrical Conductivity Instrument,Why Electrical Conductivity?,Small Angle Neutron Scattering (SANS)?,SANS Instrument,Why SANS?,SANS Wavelength (nm),SANS sample-to-detector distance (m),SANS Detector,Small-Angle X-ray Scattering (SAXS)?,SAXS Instrument,Why SAXS?,SAXS Voltage (kV),SAXS Power (W),Thermal Conductivity,Thermal Conductivity Instrument,TC Sinter Temp (°C),TC Sinter Time (hr),ICP?,ICP Instrument,Why ICP?,DLS,DLS Instrument,Why DLS?,Contact Angle,Raman,Raman Instrument,Why Raman?,Laser,Spectral Resolution (cm-1),Spectra Recorded Between (cm-1),Porosity,Porosity (%),Pore Volume (cm3/g),Average Pore Diameter (nm),Surface Area (m2/g),Bulk Density (g/cm3),Young Modulus (MPa),Thermal Conductivity (W/mK),Crystalline Phase,Nanoparticle Size (nm),Notes,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Index
"TMCS3, 0.14 molar ratio of modifier TMCS to N-hexane",Ha-Yoon Nah,Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,H2SO4,4,,NH4F,1,,,TMCS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"TMCS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,0.14 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,89.5,3.08,26.74,461,0.2,,,,,,,,,,,,,,32
"TMCS4, 0.18 molar ratio of modifier TMCS to N-hexane",Ha-Yoon Nah,Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,H2SO4,4,,NH4F,1,,,TMCS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"TMCS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,0.18 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,89.3,2.831,23,492,0.2,,,,,,,,,,,,,,33
"TMCS5, 0.22 molar ratio of modifier TMCS to N-hexane",Ha-Yoon Nah,Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,H2SO4,4,,NH4F,1,,,TMCS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"TMCS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,0.22 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,86.6,2.395,20.94,457,0.26,,,,,,,,,,,,,,34
"TMMS1, 0.07 molar ratio of modifier TMMS to N-hexane",Ha-Yoon Nah,Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,H2SO4,4,,NH4F,1,,,TMMS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"TMMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,0.07 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,70,1.044,12.62,170,0.6,,,,,,,,,,,,,,35
"TMMS2, 0.1 molar ratio of modifier TMMS to N-hexane",Ha-Yoon Nah,Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,H2SO4,4,,NH4F,1,,,TMMS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"TMMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,0.1 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,69.7,0.533,9.549,223,0.61,,,,,,,,,,,,,,36
"TMMS3, 0.14 molar ratio of modifier TMMS to N-hexane",Ha-Yoon Nah,Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,H2SO4,4,,NH4F,1,,,TMMS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"TMMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,0.14 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,69.4,0.671,9,298,0.61,,,,,,,,,,,,,,37
"TMMS4, 0.18 molar ratio of modifier TMMS to N-hexane",Ha-Yoon Nah,Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,H2SO4,4,,NH4F,1,,,TMMS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"TMMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,0.18 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,69.8,0.59,8.581,275,0.6,,,,,,,,,,,,,,38
"TMMS5, 0.22 molar ratio of modifier TMMS to N-hexane",Ha-Yoon Nah,Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,H2SO4,4,,NH4F,1,,,TMMS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"TMMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,0.22 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,69.6,0.518,10.39,199,0.61,,,,,,,,,,,,,,39
"DMDMS1, 0.07 molar ratio of modifier DMDMS to N-hexane",Ha-Yoon Nah,Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,H2SO4,4,,NH4F,1,,,DMDMS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"DMDMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,0.07 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,89.8,2.392,20.13,475,0.19,,,,,,,,,,,,,,40
"DMDMS2, 0.1 molar ratio of modifier DMDMS to N-hexane",Ha-Yoon Nah,Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,H2SO4,4,,NH4F,1,,,DMDMS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"DMDMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,0.1 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,90.1,1.837,16.36,450,0.19,,,,,,,,,,,,,,41
"DMDMS3, 0.14 molar ratio of modifier DMDMS to N-hexane",Ha-Yoon Nah,Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,H2SO4,4,,NH4F,1,,,DMDMS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"DMDMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,0.14 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,90.4,1.96,17.41,449,0.18,,,,,,,,,,,,,,42
"DMDMS4, 0.18 molar ratio of modifier DMDMS to N-hexane",Ha-Yoon Nah,Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,H2SO4,4,,NH4F,1,,,DMDMS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"DMDMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,0.18 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,91.1,1.717,16.12,427,0.17,,,,,,,,,,,,,,43
"DMDMS5, 0.22 molar ratio of modifier DMDMS to N-hexane",Ha-Yoon Nah,Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,H2SO4,4,,NH4F,1,,,DMDMS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"DMDMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,0.22 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,91.3,1.9,20.4,426,0.17,,,,,,,,,,,,,,44
"MTMS1, 0.07 molar ratio of modifier MTMS to N-hexane",Ha-Yoon Nah,Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,H2SO4,4,,NH4F,1,,,MTMS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"MTMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,0.07 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,63.3,0.61,12.2,200,0.59,,,,,,,,,,,,,,45
"MTMS2, 0.1 molar ratio of modifier MTMS to N-hexane",Ha-Yoon Nah,Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,H2SO4,4,,NH4F,1,,,MTMS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"MTMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,0.1 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,55.8,0.596,11.61,205,0.71,,,,,,,,,,,,,,46
"MTMS3, 0.14 molar ratio of modifier MTMS to N-hexane",Ha-Yoon Nah,Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,H2SO4,4,,NH4F,1,,,MTMS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"MTMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,0.14 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,55,0.603,10.95,220,0.72,,,,,,,,,,,,,,47
"MTMS4, 0.18 molar ratio of modifier MTMS to N-hexane",Ha-Yoon Nah,Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,H2SO4,4,,NH4F,1,,,MTMS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"MTMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,0.18 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,57.9,0.171,11.45,60,0.93,,,,,,,,,,,,,,48
"MTMS5, 0.22 molar ratio of modifier MTMS to N-hexane",Ha-Yoon Nah,Comparisonal studies of surface modification reaction using various silylating agents for silica aerogel,2020.0,65.0,0.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,H2SO4,4,,NH4F,1,,,MTMS,,N-hexane,,,,"Water Glass, H2O",,,,,"11, 12",NH4F,,240,,Ambient,,H2SO4 was added at the end of the 4 hours after NH4F addition,,,,,,,Isopropanol,50,24,,,,"MTMS, N-hexane",1,1,50,N-hexane,1,1,50,,,,,,,,,0.22 modifier/n-hexane molar ratio,Ambient Pressure Drying,,50,Ambient,1,,150,Ambient,2,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,,42,0.1696,12.06,56,0.92,,,,,,,,,,,,,,49
SA-6,Wei Luo et al.,Influence of Hydrolysis Time on Properties of SiO2 Aerogels Prepared by Ambient Pressure Drying,2020.0,23.0,0.0,Sol-gel,Hydrolysis time is the time between addition of acid and base catalyst to sol,TEOS,,,,,,,,EtOH,,,,,,Oxalic Acid,0.01,,NH4OH,0.5,,6,TMCS,,N-hexane,,,,"TEOS, EtOH",,5,,,,Oxalic Acid,0,360,,,,"Sol 2 was added to sol 1 dropwise. After the specified time adding sol 2, NH4OH was also added dropwise",,,,,,37,EtOH,,12,,,,N-hexane,2,1,,"TMCS, N-hexane",1,1,,,N-hexane,,,,,,,,Ambient Pressure Drying,,50,Ambient,3,,100,Ambient,2,,150,1,Ambient,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,Mesoporous,90,,,801.165,0.21252,,,,,,,,,,,,,,50
SA-12,Wei Luo et al.,Influence of Hydrolysis Time on Properties of SiO2 Aerogels Prepared by Ambient Pressure Drying,2020.0,23.0,0.0,Sol-gel,,TEOS,,,,,,,,EtOH,,,,,,Oxalic Acid,0.01,,NH4OH,0.5,,12,TMCS,,N-hexane,,,,"TEOS, EtOH",,5,,,,Oxalic Acid,0,720,,,,,,,,,,18,EtOH,,12,,,,N-hexane,2,1,,"TMCS, N-hexane",1,1,,,N-hexane,,,,,,,,Ambient Pressure Drying,,50,Ambient,3,,100,Ambient,2,,150,1,Ambient,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,Mesoporous,93,,,1088.4853,0.15192,,,,,,,,,,,,,,51
SA-18,Wei Luo et al.,Influence of Hydrolysis Time on Properties of SiO2 Aerogels Prepared by Ambient Pressure Drying,2020.0,23.0,0.0,Sol-gel,,TEOS,,,,,,,,EtOH,,,,,,Oxalic Acid,0.01,,NH4OH,0.5,,18,TMCS,,N-hexane,,,,"TEOS, EtOH",,5,,,,Oxalic Acid,0,1080,,,,,,,,,,8,EtOH,,12,,,,N-hexane,2,1,,"TMCS, N-hexane",1,1,,,N-hexane,,,,,,,,Ambient Pressure Drying,,50,Ambient,3,,100,Ambient,2,,150,1,Ambient,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,Mesoporous,96,,,1539.7706,0.08921,,,,,,,,,,,,,,52
SA-24,Wei Luo et al.,Influence of Hydrolysis Time on Properties of SiO2 Aerogels Prepared by Ambient Pressure Drying,2020.0,23.0,0.0,Sol-gel,,TEOS,,,,,,,,EtOH,,,,,,Oxalic Acid,0.01,,NH4OH,0.5,,24,TMCS,,N-hexane,,,,"TEOS, EtOH",,5,,,,Oxalic Acid,0,1440,,,,,,,,,,5,EtOH,,12,,,,N-hexane,2,1,,"TMCS, N-hexane",1,1,,,N-hexane,,,,,,,,Ambient Pressure Drying,,50,Ambient,3,,100,Ambient,2,,150,1,Ambient,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,Mesoporous,95,,,935.0971,0.09852,,,,,,,,,,,,,,53
SA-30,Wei Luo et al.,Influence of Hydrolysis Time on Properties of SiO2 Aerogels Prepared by Ambient Pressure Drying,2020.0,23.0,0.0,Sol-gel,,TEOS,,,,,,,,EtOH,,,,,,Oxalic Acid,0.01,,NH4OH,0.5,,30,TMCS,,N-hexane,,,,"TEOS, EtOH",,5,,,,Oxalic Acid,0,1800,,,,,,,,,,3,EtOH,,12,,,,N-hexane,2,1,,"TMCS, N-hexane",1,1,,,N-hexane,,,,,,,,Ambient Pressure Drying,,50,Ambient,3,,100,Ambient,2,,150,1,Ambient,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,No,,,,,,Mesoporous,94,,,823.0562,0.13273,,,,,,,,,,,,,,54
