Final Material,Authors,Corresponding Author,Title,Year,Cited References (#),Times Cited (#),Formation Method,Anna's Notes,Si Precursor,Si Precursor Concentration (M),Additional Si Co-Precursor(s),Si Co-Precursor Concentration (M),Hybrid Aerogel Co-Precursor,Co-Precursor Concentration (M),Dopant,Dopant Concentration (M),Solvent 1,Solvent 1 Concentration (M),Solvent 2,Solvent 2 Concentration (M),Additional Solvents,Additional Solvents Concentrations (M),Acid Catalyst,Acid Catalyst Initial Concentration (M),Acid Catalyst concentration in Sol(M),Base Catalyst,Base Catalyst Initial Concentration(M),Base Catalyst concentration in Sol (M),Hydrolysis Time (hr),Modifier,Modifier Concentration (M),Modifier Solvent,Modifier Solvent (M),Surfactant,Surfactant Concentration (M),Sol 1,Sol 1 Stir rate (rpm),Sol 1 Stir Time (min),Sol 1 Standing time (hr),Sol 1 Temp (°C),pH Sol 1,Sol 2,Sol 2 Stir rate (rpm),Sol 2 Stir Time (min),Sol 2 Standing time (hr),Sol 2 Temp (°C),pH Sol 2,Sol Notes,Gelation Agent,Gelation Agent (M),pH final sol,Gelation Temp (°C),Gelation Pressure (MPa),Gelation Time (mins),Aging Conditions,Aging Temp (°C),Aging Time (hrs),Aging Conditions 2,Aging Temp 2 (°C),Aging Time 2 (hrs),Wash Solvent 1,Wash Times 1 (#),Wash Duration 1 (days),Wash Temp 1 (°C),Wash Solvent 2,Wash Times 2 (#),Wash Duration 2 (days),Wash Temp 2 (°C),Wash Solvent 3,Wash Times 3 (#),Wash Duration 3 (days),Wash Temp 3 (°C),Wash Solvent 4,Wash Times 4 (#),Wash Duration 4 (days),Wash Temp 4 (°C),Wash Solvent 5,Wash Times 5 (#),Wash Duration 5 (days),Wash Temp 5 (°C),Gelation/Washing Notes,Drying Method,Drying Solvent,Drying Temp 1 (°C),Drying Pressure 1 (MPa),Drying Time 1 (hrs),Drying Atmosphere 1,Drying Temp 2 (°C),Drying Pressure 2 (MPa),Drying Time 2 (hrs),Drying Atmosphere 2,Drying Temp 3 (°C),Drying Time 3 (hrs),Drying Atmosphere 3,Drying Pressure 3 (MPa),Drying Temp 4 (°C),Drying Time 4 (hrs),Drying Pressure 4 (MPa),Drying Temp 5 (°C),Drying Time 5 (hrs),Drying Pressure 5 (MPa),Drying Notes,Sintering Temp (°C),Sintering Time (min),Ramp Rate (°C/min),Sintering Atmosphere,Sintering Notes,SEM?,SEM Instrument,Why SEM?,SEM Column,Acceleration Voltage (kV),Emission Current (mA),TEM?,TEM Instrument,Why TEM?,AFM?,AFM Instrument,Why AFM?,AFM Sample PREP,N2 Adsorption-Desorption Isotherms?,N2 A-D Instrument,Why N2 A-D?,Analysis (°C),Analysis Pressure (psi),Degas (°C),Degas Time (min),Degas Gas,BET/BJH?,Why BET/BJH?,XPS?,XPS Instrument,XPS info,Why XPS?,XRD?,XRD Instrument,Radiation,Why XRD?,XRD 2θ Range (°),XRD Increment (°/step),XRD Rate (°/min),XRD Wavelength (Å),kV,mA,FT-IR?,FT-IR Instrument,Why FTIR?,Range (cm-1),Resolution                 (cm-1),Scans (#),TGA?,TGA Instrument,Why TGA?,TGA Temperature (°C),TGA Atmosphere,TGA Ramp Rate (°C/min),Density?,Density Instrument,Medium,Hardness/Compressive Strength?,Hardness Instrument,Load (N),Dwell Time (s),Electrical Conductivty?,Electrical Conductivity Instrument,Why Electrical Conductivity?,Small Angle Neutron Scattering (SANS)?,SANS Instrument,Why SANS?,SANS Wavelength (nm),SANS sample-to-detector distance (m),SANS Detector,Small-Angle X-ray Scattering (SAXS)?,SAXS Instrument,Why SAXS?,SAXS Voltage (kV),SAXS Power (W),Thermal Conductivity,Thermal Conductivity Instrument,TC Sinter Temp (°C),TC Sinter Time (hr),ICP?,ICP Instrument,Why ICP?,DLS,DLS Instrument,Why DLS?,Contact Angle,Raman,Raman Instrument,Why Raman?,Laser,Spectral Resolution (cm-1),Spectra Recorded Between (cm-1),Porosity,Porosity (%),Pore Volume (cm3/g),Average Pore Diameter (nm),Surface Area (m2/g),Bulk Density (g/cm3),Young Modulus (MPa),Thermal Conductivity (W/mK),Crystalline Phase,Nanoparticle Size (nm),Notes,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Index
SiO2-BC composite gel- Solvothermal reaction with WO3-TiO2 precursor @ 150°C for 3hr,Fei Shi et al.,,Influences of solvothermal-assisted crystallization process on the microstructure and properties of SiO2-W0.02TiO2.06 composite aerogels synthesized via ambient pressure drying,2019.0,45.0,1.0,"Sol-gel, Solvothermal Reaction",,Water Glass,,,,BC,,,,H2O,,KOH,,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"Water Glass, H2O",,,,,"2, 4","BC, KOH, H2O",,,6,90,,NH4OH was added after the two sols were mixed,,,"6, 7 ",,,,,,0.3333,,Ambient,2,WO3-TiO2,1,1,,EtOH,1,0.125,150,"TMCS, N-hexane",1,"1,3",,,,,,,,,,Wash 2 took place in a solvothermal reactor,Ambient Pressure Drying,,80,Ambient,2,,100,Ambient,2,,150,2,,Ambient,,,,,,,,500,120,,,,Yes,,,,,,Yes,,,No,,,,Yes,,,,,,,,Yes,,No,,,,Yes,,,,,,,,,,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,No,,,,,,Mesoporous,,,,,,,,,5.9,,,,,,,,,,179
SiO2-BC composite gel- Solvothermal reaction with WO3-TiO2 precursor @ 180°C for 0.5hr,Fei Shi et al.,,Influences of solvothermal-assisted crystallization process on the microstructure and properties of SiO2-W0.02TiO2.06 composite aerogels synthesized via ambient pressure drying,2019.0,45.0,1.0,"Sol-gel, Solvothermal Reaction",,Water Glass,,,,BC,,,,H2O,,KOH,,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"Water Glass, H2O",,,,,"2, 4","BC, KOH, H2O",,,6,90,,NH4OH was added after the two sols were mixed,,,"6, 7 ",,,,,,0.3333,,Ambient,2,WO3-TiO2,1,1,,EtOH,1,0.020833333,180,"TMCS, N-hexane",1,"1,3",,,,,,,,,,Wash 2 took place in a solvothermal reactor,Ambient Pressure Drying,,80,Ambient,2,,100,Ambient,2,,150,2,,Ambient,,,,,,,,500,120,,,,Yes,,,,,,Yes,,,No,,,,Yes,,,,,,,,Yes,,No,,,,Yes,,,,,,,,,,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,No,,,,,,Mesoporous,,,,,,,,,4.8,,,,,,,,,,180
SiO2-BC composite gel- Solvothermal reaction with WO3-TiO2 precursor @ 180°C for 3hr,Fei Shi et al.,,Influences of solvothermal-assisted crystallization process on the microstructure and properties of SiO2-W0.02TiO2.06 composite aerogels synthesized via ambient pressure drying,2019.0,45.0,1.0,"Sol-gel, Solvothermal Reaction",,Water Glass,,,,BC,,,,H2O,,KOH,,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"Water Glass, H2O",,,,,"2, 4","BC, KOH, H2O",,,6,90,,NH4OH was added after the two sols were mixed,,,"6, 7 ",,,,,,0.3333,,Ambient,2,WO3-TiO2,1,1,,EtOH,1,0.125,180,"TMCS, N-hexane",1,"1,3",,,,,,,,,,Wash 2 took place in a solvothermal reactor,Ambient Pressure Drying,,80,Ambient,2,,100,Ambient,2,,150,2,,Ambient,,,,,,,,500,120,,,,Yes,,,,,,Yes,,,No,,,,Yes,,,,,,,,Yes,,No,,,,Yes,,,,,,,,,,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,No,,,,,,Mesoporous,,2.7,,729,,,,,7.2,,,,,,,,,,181
SiO2-BC composite gel- Solvothermal reaction with WO3-TiO2 precursor @ 180°C for 12hr,Fei Shi et al.,,Influences of solvothermal-assisted crystallization process on the microstructure and properties of SiO2-W0.02TiO2.06 composite aerogels synthesized via ambient pressure drying,2019.0,45.0,1.0,"Sol-gel, Solvothermal Reaction",,Water Glass,,,,BC,,,,H2O,,KOH,,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"Water Glass, H2O",,,,,"2, 4","BC, KOH, H2O",,,6,90,,NH4OH was added after the two sols were mixed,,,"6, 7 ",,,,,,0.3333,,Ambient,2,WO3-TiO2,1,1,,EtOH,1,0.5,180,"TMCS, N-hexane",1,"1,3",,,,,,,,,,Wash 2 took place in a solvothermal reactor,Ambient Pressure Drying,,80,Ambient,2,,100,Ambient,2,,150,2,,Ambient,,,,,,,,500,120,,,,Yes,,,,,,Yes,,,No,,,,Yes,,,,,,,,Yes,,No,,,,Yes,,,,,,,,,,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,No,,,,,,Mesoporous,,,,,,,,,9.5,,,,,,,,,,182
SiO2 aerogel- No solvothermal reaction,Fei Shi et al.,,Influences of solvothermal-assisted crystallization process on the microstructure and properties of SiO2-W0.02TiO2.06 composite aerogels synthesized via ambient pressure drying,2019.0,45.0,1.0,"Sol-gel, Solvothermal Reaction",,Water Glass,,,,,,,,H2O,,,,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"Water Glass, H2O",,,,,,,,,,,,NH4OH was added after the two sols were mixed,,,"6, 7 ",,,,,,0.3333,,Ambient,2,"TMCS, N-hexane",1,1.3,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,80,Ambient,2,,100,Ambient,2,,150,2,,Ambient,,,,,,,,500,120,,,,Yes,,,,,,Yes,,,No,,,,Yes,,,,,,,,Yes,,No,,,,Yes,,,,,,,,,,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,No,,,,,,Mesoporous,,0.69,,312,,,,,,,,,,,,,,,183
SiO2 aerogel- Solvothermal reaction with WO3-TiO2 precursor @ 150°C for 0.5hr,Fei Shi et al.,,Influences of solvothermal-assisted crystallization process on the microstructure and properties of SiO2-W0.02TiO2.06 composite aerogels synthesized via ambient pressure drying,2019.0,45.0,1.0,"Sol-gel, Solvothermal Reaction",,Water Glass,,,,,,,,H2O,,,,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"Water Glass, H2O",,,,,,,,,,,,NH4OH was added after the two sols were mixed,,,"6, 7 ",,,,,,0.3333,,Ambient,2,WO3-TiO2,1,1,,EtOH,1,0.020833333,150,"TMCS, N-hexane",1,"1,3",,,,,,,,,,Wash 2 took place in a solvothermal reactor,Ambient Pressure Drying,,80,Ambient,2,,100,Ambient,2,,150,2,,Ambient,,,,,,,,500,120,,,,Yes,,,,,,Yes,,,No,,,,Yes,,,,,,,,Yes,,No,,,,Yes,,,,,,,,,,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,No,,,,,,Mesoporous,,1.05,,267,,,,,,,,,,,,,,,184
SiO2-BC composite gel- Solvothermal reaction with WO3-TiO2 precursor @ 150°C for 0.5hr,Fei Shi et al.,,Influences of solvothermal-assisted crystallization process on the microstructure and properties of SiO2-W0.02TiO2.06 composite aerogels synthesized via ambient pressure drying,2019.0,45.0,1.0,"Sol-gel, Solvothermal Reaction",,Water Glass,,,,BC,,,,H2O,,KOH,,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"Water Glass, H2O",,,,,"2, 4","BC, KOH, H2O",,,6,90,,NH4OH was added after the two sols were mixed,,,"6, 7 ",,,,,,0.3333,,Ambient,2,WO3-TiO2,1,1,,EtOH,1,0.020833333,150,"TMCS, N-hexane",1,"1,3",,,,,,,,,,Wash 2 took place in a solvothermal reactor,Ambient Pressure Drying,,80,Ambient,2,,100,Ambient,2,,150,2,,Ambient,,,,,,,,500,120,,,,Yes,,,,,,Yes,,,No,,,,Yes,,,,,,,,Yes,,No,,,,Yes,,,,,,,,,,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,No,,,,,,Mesoporous,,0.78,,364,,,,,,,,,,,,,,,185
SiO2-BC composite gel- Solvothermal reaction with WO3-TiO2 precursor @ 120°C for 1hr,Fei Shi et al.,,Influences of solvothermal-assisted crystallization process on the microstructure and properties of SiO2-W0.02TiO2.06 composite aerogels synthesized via ambient pressure drying,2019.0,45.0,1.0,"Sol-gel, Solvothermal Reaction",,Water Glass,,,,BC,,,,H2O,,KOH,,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"Water Glass, H2O",,,,,"2, 4","BC, KOH, H2O",,,6,90,,NH4OH was added after the two sols were mixed,,,"6, 7 ",,,,,,0.3333,,Ambient,2,WO3-TiO2,1,1,,EtOH,1,0.041666667,120,"TMCS, N-hexane",1,"1,3",,,,,,,,,,Wash 2 took place in a solvothermal reactor,Ambient Pressure Drying,,80,Ambient,2,,100,Ambient,2,,150,2,,Ambient,,,,,,,,500,120,,,,Yes,,,,,,Yes,,,No,,,,Yes,,,,,,,,Yes,,No,,,,Yes,,,,,,,,,,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,No,,,,,,Mesoporous,,1.46,,480,,,,,,,,,,,,,,,186
SiO2-BC composite gel- Solvothermal reaction with WO3-TiO2 precursor @ 180°C for 1hr,Fei Shi et al.,,Influences of solvothermal-assisted crystallization process on the microstructure and properties of SiO2-W0.02TiO2.06 composite aerogels synthesized via ambient pressure drying,2019.0,45.0,1.0,"Sol-gel, Solvothermal Reaction",,Water Glass,,,,BC,,,,H2O,,KOH,,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"Water Glass, H2O",,,,,"2, 4","BC, KOH, H2O",,,6,90,,NH4OH was added after the two sols were mixed,,,"6, 7 ",,,,,,0.3333,,Ambient,2,WO3-TiO2,1,1,,EtOH,1,0.041666667,180,"TMCS, N-hexane",1,"1,3",,,,,,,,,,Wash 2 took place in a solvothermal reactor,Ambient Pressure Drying,,80,Ambient,2,,100,Ambient,2,,150,2,,Ambient,,,,,,,,500,120,,,,Yes,,,,,,Yes,,,No,,,,Yes,,,,,,,,Yes,,No,,,,Yes,,,,,,,,,,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,No,,,,,,Mesoporous,,1.65,,461,,,,,,,,,,,,,,,187
X11- 38.46 vol % EtOH,Yajun Huang et al.,,Organic solvent-saving preparation of water glass based aerogel granules under ambient pressure drying,2019.0,43.0,6.0,Sol-gel,,Water Glass,,,,,,,,H2O,,HCl,,EtOH,,,,,Water Glass,,,,"HCl, HMDSO",,,,,,"Water Glass, H2O, HCl",,,,,1,"EtOH, Water Glass, H2O",,,,,,,,,6,,,10,,,,,,,"HCl, HMDSO",1,0.166666667,,,,,,,,,,,,,,,,,,"A strong acidic cation resin for removal of Na Ions. Start including this in columns?, EtOH base catalyst or solvent?",Ambient Pressure Drying,,100,Ambient,1,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,Yes,,,,No,,,No,,,No,No,,,,,,Mesoporous,94.68,3.08,,531.35,0.117,,,,,,,,,,,,,,188
X12- 55.56 vol % EtOH,Yajun Huang et al.,,Organic solvent-saving preparation of water glass based aerogel granules under ambient pressure drying,2019.0,43.0,6.0,Sol-gel,,Water Glass,,,,,,,,H2O,,HCl,,EtOH,,,,,Water Glass,,,,"HCl, HMDSO",,,,,,"Water Glass, H2O, HCl",,,,,1,"EtOH, Water Glass, H2O",,,,,,,,,6,,,10,,,,,,,"HCl, HMDSO",1,0.166666667,,,,,,,,,,,,,,,,,,A strong acidic cation resin for removal of Na Ions. Start including this in columns?,Ambient Pressure Drying,,100,Ambient,1,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,Yes,,,,No,,,No,,,No,No,,,,,,Mesoporous,95.41,3.21,,603.86,0.101,,,,,,,,,,,,,,189
X13- 65.22 vol % EtOH,Yajun Huang et al.,,Organic solvent-saving preparation of water glass based aerogel granules under ambient pressure drying,2019.0,43.0,6.0,Sol-gel,,Water Glass,,,,,,,,H2O,,HCl,,EtOH,,,,,Water Glass,,,,"HCl, HMDSO",,,,,,"Water Glass, H2O, HCl",,,,,1,"EtOH, Water Glass, H2O",,,,,,,,,6,,,10,,,,,,,"HCl, HMDSO",1,0.166666667,,,,,,,,,,,,,,,,,,A strong acidic cation resin for removal of Na Ions. Start including this in columns?,Ambient Pressure Drying,,100,Ambient,1,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,Yes,,,,No,,,No,,,No,No,,,,,,Mesoporous,95.82,4.26,,872.36,0.092,,,,,,,,,,,,,,190
X14- 71.42 vol % EtOH,Yajun Huang et al.,,Organic solvent-saving preparation of water glass based aerogel granules under ambient pressure drying,2019.0,43.0,6.0,Sol-gel,,Water Glass,,,,,,,,H2O,,HCl,,EtOH,,,,,Water Glass,,,,"HCl, HMDSO",,,,,,"Water Glass, H2O, HCl",,,,,1,"EtOH, Water Glass, H2O",,,,,,,,,6,,,10,,,,,,,"HCl, HMDSO",1,0.166666667,,,,,,,,,,,,,,,,,,A strong acidic cation resin for removal of Na Ions. Start including this in columns?,Ambient Pressure Drying,,100,Ambient,1,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,Yes,,,,No,,,No,,,No,No,,,,,,Mesoporous,95.23,3.53,,619.47,0.105,,,,,,,,,,,,,,191
X15- 75.76 vol % EtOH,Yajun Huang et al.,,Organic solvent-saving preparation of water glass based aerogel granules under ambient pressure drying,2019.0,43.0,6.0,Sol-gel,,Water Glass,,,,,,,,H2O,,HCl,,EtOH,,,,,Water Glass,,,,"HCl, HMDSO",,,,,,"Water Glass, H2O, HCl",,,,,1,"EtOH, Water Glass, H2O",,,,,,,,,6,,,10,,,,,,,"HCl, HMDSO",1,0.166666667,,,,,,,,,,,,,,,,,,A strong acidic cation resin for removal of Na Ions. Start including this in columns?,Ambient Pressure Drying,,100,Ambient,1,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,Yes,,,,No,,,No,,,No,No,,,,,,Mesoporous,94.5,2.48,,569.38,0.121,,,,,,,,,,,,,,192
A- HCl and EtOH,Yajun Huang et al.,,Organic solvent-saving preparation of water glass based aerogel granules under ambient pressure drying,2019.0,43.0,6.0,Sol-gel,,Water Glass,,,,,,,,H2O,,HCl,,EtOH,,,,,NH4OH,5,,,"HCl, HMDSO",,,,,,"Water Glass, H2O, HCl",,,,,1,"EtOH, NH4OH",,,,,,,,,6,,,<5,,,,,,,"HCl, HMDSO",1,0.166666667,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,100,Ambient,1,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,Yes,,,,No,,,No,,,No,No,,,,,,,,,,872.36,0.092,,,,,,,,,,,,,,193
B- Water before ion exchange & EtOH,Yajun Huang et al.,,Organic solvent-saving preparation of water glass based aerogel granules under ambient pressure drying,2019.0,43.0,6.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,EtOH,,,,,NH4OH,5,,,"HCl, HMDSO",,,,,,"Water Glass, H2O",,,,,3,"EtOH, NH4OH",,,,,,,,,6,,,<5,,,,,,,"HCl, HMDSO",1,0.166666667,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,100,Ambient,1,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,Yes,,,,No,,,No,,,No,No,,,,,,,,,,285.59,0.397,,,,,,,,,,,,,,194
C- Water after ion exchange,Yajun Huang et al.,,Organic solvent-saving preparation of water glass based aerogel granules under ambient pressure drying,2019.0,43.0,6.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,,,,NH4OH,5,,,"HCl, HMDSO",,,,,,"Water Glass, H2O",,,,,3,"H2O, NH4OH",,,,,,,,,6,,,<5,,,,,,,"HCl, HMDSO",1,0.166666667,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,100,Ambient,1,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,Yes,,,,No,,,No,,,No,No,,,,,,,,,,279.35,0.369,,,,,,,,,,,,,,195
D- Water after ion exchange,Yajun Huang et al.,,Organic solvent-saving preparation of water glass based aerogel granules under ambient pressure drying,2019.0,43.0,6.0,Sol-gel,,Water Glass,,,,,,,,H2O,,HCl,,,,,,,NH4OH,5,,,"HCl, HMDSO",,,,,,"Water Glass, H2O, HCl",,,,,1,"H2O, NH4OH",,,,,,,,,6,,,<5,,,,,,,"HCl, HMDSO",1,0.166666667,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,100,Ambient,1,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,Yes,,,,No,,,No,,,No,No,,,,,,,,,,773.91,0.098,,,,,,,,,,,,,,196
"E- no Water, EtOH, or HCl",Yajun Huang et al.,,Organic solvent-saving preparation of water glass based aerogel granules under ambient pressure drying,2019.0,43.0,6.0,Sol-gel,,Water Glass,,,,,,,,H2O,,,,,,,,,NH4OH,5,,,"HCl, HMDSO",,,,,,"Water Glass, H2O",,,,,3,NH4OH,,,,,,,,,6,,,<5,,,,,,,"HCl, HMDSO",1,0.166666667,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,100,Ambient,1,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,No,,,,,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,Yes,,,,No,,,No,,,No,No,,,,,,,,,,740.43,0.103,,,,,,,,,,,,,,197
A- 0 molar ratio TMMS/TEOS,Hongyi Gao et al.,,Ambient pressure dried flexible silica aerogel for construction of monolithic shape-stabilized phase change materials,2019.0,66.0,8.0,Sol-gel,,MTMS,,TEOS,,,,,,Isopropanol,,,,,,HCl,3,,NH4OH,,,,,,,,,,"MTMS, TEOS, Isopropanol",,5,,,,HCl,,5,1,50,,"The stirring took place at ambient temperatures, NH4OH was added after the hour of hydrolyzation with HCl",,,,,,,,50,48,,,,,,,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,50,Ambient,12,,80,Ambient,12,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,Yes,,,,,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,No,,,,,,Mesoporous,,,,937,0.28,,,,,,,,,,,,,,198
B- 0.1 molar ratio TMMS/TEOS,Hongyi Gao et al.,,Ambient pressure dried flexible silica aerogel for construction of monolithic shape-stabilized phase change materials,2019.0,66.0,8.0,Sol-gel,,MTMS,,"TEOS, TMMS",,,,,,Isopropanol,,,,,,HCl,3,,NH4OH,,,,,,,,,,"MTMS, TEOS, Isopropanol, TMMS",,20,,,,HCl,,5,1,50,,"TMMS was added 5 minutes into the stirring in sol 1, 'The stirring took place at ambient temperatures in sol 2, NH4OH was added after the hour of hydrolyzation with HCl",,,,,,,,50,48,,,,,,,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,50,Ambient,12,,80,Ambient,12,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,Yes,,,,,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,No,,,,,,Mesoporous,,,,857,0.257,,,Powder,,,,,,,,,,,199
C- 0.2 molar ratio TMMS/TEOS,Hongyi Gao et al.,,Ambient pressure dried flexible silica aerogel for construction of monolithic shape-stabilized phase change materials,2019.0,66.0,8.0,Sol-gel,,MTMS,,"TEOS, TMMS",,,,,,Isopropanol,,,,,,HCl,3,,NH4OH,,,,,,,,,,"MTMS, TEOS, Isopropanol, TMMS",,20,,,,HCl,,5,1,50,,"TMMS was added 5 minutes into the stirring in sol 1, 'The stirring took place at ambient temperatures in sol 2, NH4OH was added after the hour of hydrolyzation with HCl",,,,,,,,50,48,,,,,,,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,50,Ambient,12,,80,Ambient,12,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,Yes,,,,,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,No,,,,,,Mesoporous,,,,766,0.216,,,,,,,,,,,,,,200
D- 0.3 molar ratio TMMS/TEOS,Hongyi Gao et al.,,Ambient pressure dried flexible silica aerogel for construction of monolithic shape-stabilized phase change materials,2019.0,66.0,8.0,Sol-gel,,MTMS,,"TEOS, TMMS",,,,,,Isopropanol,,,,,,HCl,3,,NH4OH,,,,,,,,,,"MTMS, TEOS, Isopropanol, TMMS",,20,,,,HCl,,5,1,50,,"TMMS was added 5 minutes into the stirring in sol 1, 'The stirring took place at ambient temperatures in sol 2, NH4OH was added after the hour of hydrolyzation with HCl",,,,,,,,50,48,,,,,,,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,50,Ambient,12,,80,Ambient,12,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,No,,,,Yes,,,,,,,,Yes,,No,,,,Yes,,,,,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,No,No,,,,,,Mesoporous,,,,665,0.199,,,Monolithic,,,,,,,,,,,201
