Final Material,Author,Title,Year,Cited References (#),Times Cited (#),Formation Method,Anna's Notes,Zr Precursor,Zr Precursor Concentration (M),Dopant,Dopant Concentration (M),Solvent 1,Solvent 1 Concentration (M),Solvent 2,Additional Solvents,Additional Precursors (non Zr),Modifier,Modifier Concentration (M),Surfactant,Surfactant Concentration (M),Gelation Agent,Gelation Agent (M),pH final sol,Gelation Temp (°C),Gelation Pressure (MPa),Gelation Time (mins),Aging Temp (°C),Aging Time (hrs),Wash Solvent 1,Wash Times 1 (#),Wash Duration 1 (days),Wash Temp 1 (°C),Wash Solvent 2,Wash Times 2 (#),Wash Duration 2 (days),Wash Temp 2 (°C),Wash Solvent 3,Wash Times 3 (#),Wash Duration 3 (days),Wash Temp 3 (°C),Wash Solvent 4,Wash Times 4 (#),Wash Duration 4 (days),Wash Temp 4 (°C),Gelation/Washing Notes,Drying Method,Drying Solvent,Drying Temp (°C),Drying Heating Rate (°C/min),Drying Pressure (MPa),Drying Time (hrs),Drying Atmosphere,Drying Temp 2 (°C),Drying Heating Rate 2 (°C/min),Drying Pressure 2 (MPa),Drying Time 2 (hrs),Drying Atmosphere 2,Drying Notes,Sintering Temp (°C),Sintering Time (min),Ramp Rate (°C/min),Sintering Atmosphere,Sintering Notes,SEM?,SEM Instrument,Why SEM?,SEM Column,Acceleration Voltage (kV),Emission Current (mA),TEM?,TEM Instrument,Why TEM?,AFM?,AFM Instrument,Why AFM?,AFM Sample PREP,N2 Adsorption-Desorption Isotherms?,N2 A-D Instrument,Why N2 A-D?,Analysis (°C),Analysis Pressure (psi),Degas (°C),Degas Time (min),Degas Gas,BET/BJH?,Why BET/BJH?,XPS?,XPS Instrument,XPS info,Why XPS?,XRD?,XRD Instrument,Radiation,Why XRD?,XRD 2θ Range (°),XRD Increment (°/step),XRD Rate (°/min),XRD Wavelength (Å),kV,mA,FT-IR?,FT-IR Instrument,Why FTIR?,Range (cm-1),Resolution                 (cm-1),Scans (#),TGA?,TGA Instrument,Why TGA?,TGA Temperature (°C),TGA Atmosphere,TGA Ramp Rate (°C/min),Density?,Density Instrument,Medium,Hardness?,Hardness Instrument,Load (N),Dwell Time (s),Electrical Conductivty?,Electrical Conductivity Instrument,Why Electrical Conductivity?,Small Angle Neutron Scattering (SANS)?,SANS Instrument,Why SANS?,SANS Wavelength (nm),SANS sample-to-detector distance (m),SANS Detector,Small-Angle X-ray Scattering (SAXS)?,SAXS Instrument,Why SAXS?,SAXS Voltage (kV),SAXS Power (W),Thermal Conductivity,Thermal Conductivity Instrument,TC Sinter Temp (°C),TC Sinter Time (hr),ICP?,ICP Instrument,Why ICP?,DLS,DLS Instrument,Why DLS?,Raman,Raman Instrument,Why Raman?,Laser,Spectral Resolution (cm-1),Spectra Recorded Between (cm-1),Porosity,Porosity (%),Pore Volume (cm3/g),Pore Size (nm),Nanoparticle Size (nm),Surface Area (m2/g),Density (g/cm3),Thermal Conductivity (W/mK),Crystalline Phase,Notes,Index
"ZrO2 aerogels (water, H = 10), as-dried",Zhong et al.,Synthesis of monolithic zirconia aerogel via a nitric acid assisted epoxide addition method,2014,36,11,sol-gel,,zirconyl chloride octahydrate,0.39,,,water,3.9,ethanol,,,nitric acid,0.39,,,propylene oxide,2.34,,20,,25,,24,ethanol,3,1,,,,,,,,,,,,,,,supercritical drying,ethanol,265,,7.2,1,nitrogen,,,,,,,,,,,as-dried,No,,,,,,Yes,Hitachi H-800/JEOL JEM-2100,Morphologies and structures,No,,,,Yes,"ASAP 2020, Micromeritics, USA","Specific surface area, pore size distribution",,,150,,,Yes,"Specific surface area, pore size distribution",No,,,,Yes,Rigaku D/max-2500B2+/PCX,Cu Kα,,Oct-90,,,1.5406,40,20,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,,,785 nm,,,mesoporous,97.1,1.8,,10-May,454,,,amorphous,Translucent white,253
"ZrO2 aerogels (water, H = 10) @ 350C",Zhong et al.,Synthesis of monolithic zirconia aerogel via a nitric acid assisted epoxide addition method,2014,36,11,sol-gel,,zirconyl chloride octahydrate,0.39,,,water,3.9,ethanol,,,nitric acid,0.39,,,propylene oxide,2.34,,20,,25,,24,ethanol,3,1,,,,,,,,,,,,,,,supercritical drying,ethanol,265,,7.2,1,nitrogen,,,,,,,350,120,5,air,,No,,,,,,Yes,Hitachi H-800/JEOL JEM-2100,Morphologies and structures,No,,,,Yes,"ASAP 2020, Micromeritics, USA","Specific surface area, pore size distribution",,,150,,,Yes,"Specific surface area, pore size distribution",No,,,,Yes,Rigaku D/max-2500B2+/PCX,Cu Kα,,Oct-90,,,1.5406,40,20,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,,,785 nm,,,,,,,,,,,tetragonal,,254
"ZrO2 aerogels (water, H = 10) @ 450C",Zhong et al.,Synthesis of monolithic zirconia aerogel via a nitric acid assisted epoxide addition method,2014,36,11,sol-gel,,zirconyl chloride octahydrate,0.39,,,water,3.9,ethanol,,,nitric acid,0.39,,,propylene oxide,2.34,,20,,25,,24,ethanol,3,1,,,,,,,,,,,,,,,supercritical drying,ethanol,265,,7.2,1,nitrogen,,,,,,,450,120,5,air,,No,,,,,,Yes,Hitachi H-800/JEOL JEM-2100,Morphologies and structures,No,,,,Yes,"ASAP 2020, Micromeritics, USA","Specific surface area, pore size distribution",,,150,,,Yes,"Specific surface area, pore size distribution",No,,,,Yes,Rigaku D/max-2500B2+/PCX,Cu Kα,,Oct-90,,,1.5406,40,20,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,,,785 nm,,,,,,,,,,,tetragonal,,255
"ZrO2 aerogels (water, H = 10) @ 550C",Zhong et al.,Synthesis of monolithic zirconia aerogel via a nitric acid assisted epoxide addition method,2014,36,11,sol-gel,,zirconyl chloride octahydrate,0.39,,,water,3.9,ethanol,,,nitric acid,0.39,,,propylene oxide,2.34,,20,,25,,24,ethanol,3,1,,,,,,,,,,,,,,,supercritical drying,ethanol,265,,7.2,1,nitrogen,,,,,,,550,120,5,air,,No,,,,,,Yes,Hitachi H-800/JEOL JEM-2100,Morphologies and structures,No,,,,Yes,"ASAP 2020, Micromeritics, USA","Specific surface area, pore size distribution",,,150,,,Yes,"Specific surface area, pore size distribution",No,,,,Yes,Rigaku D/max-2500B2+/PCX,Cu Kα,,Oct-90,,,1.5406,40,20,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,,,785 nm,,,,,,,,,,,tetragonal,,256
"ZrO2 aerogels (water, H = 10) @ 750C",Zhong et al.,Synthesis of monolithic zirconia aerogel via a nitric acid assisted epoxide addition method,2014,36,11,sol-gel,,zirconyl chloride octahydrate,0.39,,,water,3.9,ethanol,,,nitric acid,0.39,,,propylene oxide,2.34,,20,,25,,24,ethanol,3,1,,,,,,,,,,,,,,,supercritical drying,ethanol,265,,7.2,1,nitrogen,,,,,,,750,120,5,air,,No,,,,,,Yes,Hitachi H-800/JEOL JEM-2100,Morphologies and structures,No,,,,Yes,"ASAP 2020, Micromeritics, USA","Specific surface area, pore size distribution",,,150,,,Yes,"Specific surface area, pore size distribution",No,,,,Yes,Rigaku D/max-2500B2+/PCX,Cu Kα,,Oct-90,,,1.5406,40,20,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,,,785 nm,,,,,,,,,,,tetragonal,,257
"ZrO2 aerogels (water, H = 10) @ 850C",Zhong et al.,Synthesis of monolithic zirconia aerogel via a nitric acid assisted epoxide addition method,2014,36,11,sol-gel,,zirconyl chloride octahydrate,0.39,,,water,3.9,ethanol,,,nitric acid,0.39,,,propylene oxide,2.34,,20,,25,,24,ethanol,3,1,,,,,,,,,,,,,,,supercritical drying,ethanol,265,,7.2,1,nitrogen,,,,,,,850,120,5,air,,No,,,,,,Yes,Hitachi H-800/JEOL JEM-2100,Morphologies and structures,No,,,,Yes,"ASAP 2020, Micromeritics, USA","Specific surface area, pore size distribution",,,150,,,Yes,"Specific surface area, pore size distribution",No,,,,Yes,Rigaku D/max-2500B2+/PCX,Cu Kα,,Oct-90,,,1.5406,40,20,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,,,785 nm,,,,,,,,,,,"tetragonal, monoclinic",,258
"ZrO2 aerogels (water, H = 10) @1000C",Zhong et al.,Synthesis of monolithic zirconia aerogel via a nitric acid assisted epoxide addition method,2014,36,11,sol-gel,,zirconyl chloride octahydrate,0.39,,,water,3.9,ethanol,,,nitric acid,0.39,,,propylene oxide,2.34,,20,,25,,24,ethanol,3,1,,,,,,,,,,,,,,,supercritical drying,ethanol,265,,7.2,1,nitrogen,,,,,,,1000,120,5,air,,No,,,,,,Yes,Hitachi H-800/JEOL JEM-2100,Morphologies and structures,No,,,,Yes,"ASAP 2020, Micromeritics, USA","Specific surface area, pore size distribution",,,150,,,Yes,"Specific surface area, pore size distribution",No,,,,Yes,Rigaku D/max-2500B2+/PCX,Cu Kα,,Oct-90,,,1.5406,40,20,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,,,785 nm,,,,,,,,,,,"tetragonal, monoclinic",,259
"ZrO2 aerogels (water, H = 20), as-dried",Zhong et al.,Synthesis of monolithic zirconia aerogel via a nitric acid assisted epoxide addition method,2014,36,11,sol-gel,,zirconyl chloride octahydrate,0.39,,,water,7.8,ethanol,,,nitric acid,0.39,,,propylene oxide,2.34,,20,,40,,24,ethanol,3,1,,,,,,,,,,,,,,,supercritical drying,ethanol,265,,7.2,1,nitrogen,,,,,,,,,,,as-dried,No,,,,,,Yes,Hitachi H-800/JEOL JEM-2100,Morphologies and structures,No,,,,Yes,"ASAP 2020, Micromeritics, USA","Specific surface area, pore size distribution",,,150,,,Yes,"Specific surface area, pore size distribution",No,,,,Yes,Rigaku D/max-2500B2+/PCX,Cu Kα,,Oct-90,,,1.5406,40,20,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,,,785 nm,,,mesoporous,59.5,2.5,,,406,,,amorphous,Translucent white,260
"ZrO2 aerogels (water, H = 20) @ 350C",Zhong et al.,Synthesis of monolithic zirconia aerogel via a nitric acid assisted epoxide addition method,2014,36,11,sol-gel,,zirconyl chloride octahydrate,0.39,,,water,7.8,ethanol,,,nitric acid,0.39,,,propylene oxide,2.34,,20,,40,,24,ethanol,3,1,,,,,,,,,,,,,,,supercritical drying,ethanol,265,,7.2,1,nitrogen,,,,,,,350,120,5,air,,No,,,,,,Yes,Hitachi H-800/JEOL JEM-2100,Morphologies and structures,No,,,,Yes,"ASAP 2020, Micromeritics, USA","Specific surface area, pore size distribution",,,150,,,Yes,"Specific surface area, pore size distribution",No,,,,Yes,Rigaku D/max-2500B2+/PCX,Cu Kα,,Oct-90,,,1.5406,40,20,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,,,785 nm,,,,,,,,,,,tetragonal,,261
"ZrO2 aerogels (water, H = 20) @ 450C",Zhong et al.,Synthesis of monolithic zirconia aerogel via a nitric acid assisted epoxide addition method,2014,36,11,sol-gel,,zirconyl chloride octahydrate,0.39,,,water,7.8,ethanol,,,nitric acid,0.39,,,propylene oxide,2.34,,20,,40,,24,ethanol,3,1,,,,,,,,,,,,,,,supercritical drying,ethanol,265,,7.2,1,nitrogen,,,,,,,450,120,5,air,,No,,,,,,Yes,Hitachi H-800/JEOL JEM-2100,Morphologies and structures,No,,,,Yes,"ASAP 2020, Micromeritics, USA","Specific surface area, pore size distribution",,,150,,,Yes,"Specific surface area, pore size distribution",No,,,,Yes,Rigaku D/max-2500B2+/PCX,Cu Kα,,Oct-90,,,1.5406,40,20,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,,,785 nm,,,,,,,,,,,tetragonal,,262
"ZrO2 aerogels (water, H = 20) @ 550C",Zhong et al.,Synthesis of monolithic zirconia aerogel via a nitric acid assisted epoxide addition method,2014,36,11,sol-gel,,zirconyl chloride octahydrate,0.39,,,water,7.8,ethanol,,,nitric acid,0.39,,,propylene oxide,2.34,,20,,40,,24,ethanol,3,1,,,,,,,,,,,,,,,supercritical drying,ethanol,265,,7.2,1,nitrogen,,,,,,,550,120,5,air,,No,,,,,,Yes,Hitachi H-800/JEOL JEM-2100,Morphologies and structures,No,,,,Yes,"ASAP 2020, Micromeritics, USA","Specific surface area, pore size distribution",,,150,,,Yes,"Specific surface area, pore size distribution",No,,,,Yes,Rigaku D/max-2500B2+/PCX,Cu Kα,,Oct-90,,,1.5406,40,20,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,,,785 nm,,,,,,,,,,,tetragonal,,263
"ZrO2 aerogels (water, H = 20) @ 750C",Zhong et al.,Synthesis of monolithic zirconia aerogel via a nitric acid assisted epoxide addition method,2014,36,11,sol-gel,,zirconyl chloride octahydrate,0.39,,,water,7.8,ethanol,,,nitric acid,0.39,,,propylene oxide,2.34,,20,,40,,24,ethanol,3,1,,,,,,,,,,,,,,,supercritical drying,ethanol,265,,7.2,1,nitrogen,,,,,,,750,120,5,air,,No,,,,,,Yes,Hitachi H-800/JEOL JEM-2100,Morphologies and structures,No,,,,Yes,"ASAP 2020, Micromeritics, USA","Specific surface area, pore size distribution",,,150,,,Yes,"Specific surface area, pore size distribution",No,,,,Yes,Rigaku D/max-2500B2+/PCX,Cu Kα,,Oct-90,,,1.5406,40,20,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,,,785 nm,,,,,,,,,,,tetragonal,,264
"ZrO2 aerogels (water, H = 20) @ 850C",Zhong et al.,Synthesis of monolithic zirconia aerogel via a nitric acid assisted epoxide addition method,2014,36,11,sol-gel,,zirconyl chloride octahydrate,0.39,,,water,7.8,ethanol,,,nitric acid,0.39,,,propylene oxide,2.34,,20,,40,,24,ethanol,3,1,,,,,,,,,,,,,,,supercritical drying,ethanol,265,,7.2,1,nitrogen,,,,,,,850,120,5,air,,No,,,,,,Yes,Hitachi H-800/JEOL JEM-2100,Morphologies and structures,No,,,,Yes,"ASAP 2020, Micromeritics, USA","Specific surface area, pore size distribution",,,150,,,Yes,"Specific surface area, pore size distribution",No,,,,Yes,Rigaku D/max-2500B2+/PCX,Cu Kα,,Oct-90,,,1.5406,40,20,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,,,785 nm,,,,,,,,,,,"tetragonal, monoclinic",,265
"ZrO2 aerogels (water, H = 20) @1000C",Zhong et al.,Synthesis of monolithic zirconia aerogel via a nitric acid assisted epoxide addition method,2014,36,11,sol-gel,,zirconyl chloride octahydrate,0.39,,,water,7.8,ethanol,,,nitric acid,0.39,,,propylene oxide,2.34,,20,,40,,24,ethanol,3,1,,,,,,,,,,,,,,,supercritical drying,ethanol,265,,7.2,1,nitrogen,,,,,,,1000,120,5,air,,No,,,,,,Yes,Hitachi H-800/JEOL JEM-2100,Morphologies and structures,No,,,,Yes,"ASAP 2020, Micromeritics, USA","Specific surface area, pore size distribution",,,150,,,Yes,"Specific surface area, pore size distribution",No,,,,Yes,Rigaku D/max-2500B2+/PCX,Cu Kα,,Oct-90,,,1.5406,40,20,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No,,,Yes,,,785 nm,,,,,,,,,,,"tetragonal, monoclinic",,266
"core–shell ZrO2/SiO2 aerogels (FA10), as-dried",Ren et al.,Preparation and characterization of high surface area ZrO2 aerogel modified by SiO2,2015,20,9,sol-gel,,zirconium(IV) oxynitrate hydrate,0.3,,,ethanol,,water,tetraethoxysilane,,formamide,0.3,polyethylene glycol 400,0.3,propylene oxide,1.8,,60,,37,,,ethanol,3,0.5,,"ethanol, tetraethoxysilane",1,,,ethanol,3,0.5,,,,,,,ambient pressure drying,,60,,0.101,48 - 96,,,,,,,,,,,,as-dried,Yes,"S4800, Hitachi, Japan","Morphologies, microstructure",,,,Yes,"Tecnai G2 F20, FEI, Holland","Morphologies, microstructure",No,,,,Yes,"OMNISORP100CX, Bechman Coulter, USA",Meso and micropores,,,100,,,Yes,Surface area/pore size distibution,Yes,"Axis Ultra DLD, Kratos, UK","Hemispherical e- energy analyzer, monochromatic Al Kα X-ray radiation",Chemical states of O2 atoms,Yes,"Empyrean 200895 PANalytical B.V., Holland",,Crystalline phase,,,,,,,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,mesoporous,,,7.4,,430,,,amorphous,,267
core–shell ZrO2/SiO2 aerogels (FA10) @ 1000C,Ren et al.,Preparation and characterization of high surface area ZrO2 aerogel modified by SiO2,2015,20,9,sol-gel,,zirconium(IV) oxynitrate hydrate,0.3,,,ethanol,,water,tetraethoxysilane,,formamide,0.3,polyethylene glycol 400,0.3,propylene oxide,1.8,,60,,37,,,ethanol,3,0.5,,"ethanol, tetraethoxysilane",1,,,ethanol,3,0.5,,,,,,,ambient pressure drying,,60,,0.101,48 - 96,,,,,,,,1000,120,5,,,Yes,"S4800, Hitachi, Japan","Morphologies, microstructure",,,,Yes,"Tecnai G2 F20, FEI, Holland","Morphologies, microstructure",No,,,,Yes,"OMNISORP100CX, Bechman Coulter, USA",Meso and micropores,,,100,,,Yes,Surface area/pore size distibution,Yes,"Axis Ultra DLD, Kratos, UK","Hemispherical e- energy analyzer, monochromatic Al Kα X-ray radiation",Chemical states of O2 atoms,Yes,"Empyrean 200895 PANalytical B.V., Holland",,Crystalline phase,,,,,,,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,tetragonal,,268
"core–shell ZrO2/SiO2 aerogels (FA15), as-dried",Ren et al.,Preparation and characterization of high surface area ZrO2 aerogel modified by SiO2,2015,20,9,sol-gel,,zirconium(IV) oxynitrate hydrate,0.3,,,ethanol,,water,tetraethoxysilane,,formamide,0.45,polyethylene glycol 400,0.3,propylene oxide,1.8,,60,,23,,,ethanol,3,0.5,,"ethanol, tetraethoxysilane",1,,,ethanol,3,0.5,,,,,,,ambient pressure drying,,60,,0.101,48 - 96,,,,,,,,,,,,as-dried,Yes,"S4800, Hitachi, Japan","Morphologies, microstructure",,,,Yes,"Tecnai G2 F20, FEI, Holland","Morphologies, microstructure",No,,,,Yes,"OMNISORP100CX, Bechman Coulter, USA",Meso and micropores,,,100,,,Yes,Surface area/pore size distibution,Yes,"Axis Ultra DLD, Kratos, UK","Hemispherical e- energy analyzer, monochromatic Al Kα X-ray radiation",Chemical states of O2 atoms,Yes,"Empyrean 200895 PANalytical B.V., Holland",,Crystalline phase,,,,,,,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,mesoporous,,,8.1,,602,,,amorphous,,269
core–shell ZrO2/SiO2 aerogels (FA15) @ 1000C,Ren et al.,Preparation and characterization of high surface area ZrO2 aerogel modified by SiO2,2015,20,9,sol-gel,,zirconium(IV) oxynitrate hydrate,0.3,,,ethanol,,water,tetraethoxysilane,,formamide,0.45,polyethylene glycol 400,0.3,propylene oxide,1.8,,60,,23,,,ethanol,3,0.5,,"ethanol, tetraethoxysilane",1,,,ethanol,3,0.5,,,,,,,ambient pressure drying,,60,,0.101,48 - 96,,,,,,,,1000,120,5,,,Yes,"S4800, Hitachi, Japan","Morphologies, microstructure",,,,Yes,"Tecnai G2 F20, FEI, Holland","Morphologies, microstructure",No,,,,Yes,"OMNISORP100CX, Bechman Coulter, USA",Meso and micropores,,,100,,,Yes,Surface area/pore size distibution,Yes,"Axis Ultra DLD, Kratos, UK","Hemispherical e- energy analyzer, monochromatic Al Kα X-ray radiation",Chemical states of O2 atoms,Yes,"Empyrean 200895 PANalytical B.V., Holland",,Crystalline phase,,,,,,,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,tetragonal,,270
"core–shell ZrO2/SiO2 aerogels (FA20), as-dried",Ren et al.,Preparation and characterization of high surface area ZrO2 aerogel modified by SiO2,2015,20,9,sol-gel,,zirconium(IV) oxynitrate hydrate,0.3,,,ethanol,,water,tetraethoxysilane,,formamide,0.6,polyethylene glycol 400,0.3,propylene oxide,1.8,,60,,,,,ethanol,3,0.5,,"ethanol, tetraethoxysilane",1,,,ethanol,3,0.5,,,,,,,ambient pressure drying,,60,,0.101,48 - 96,,,,,,,,,,,,as-dried,Yes,"S4800, Hitachi, Japan","Morphologies, microstructure",,,,Yes,"Tecnai G2 F20, FEI, Holland","Morphologies, microstructure",No,,,,Yes,"OMNISORP100CX, Bechman Coulter, USA",Meso and micropores,,,100,,,Yes,Surface area/pore size distibution,Yes,"Axis Ultra DLD, Kratos, UK","Hemispherical e- energy analyzer, monochromatic Al Kα X-ray radiation",Chemical states of O2 atoms,Yes,"Empyrean 200895 PANalytical B.V., Holland",,Crystalline phase,,,,,,,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,mesoporous,,,8.2,,619,,,amorphous,,271
core–shell ZrO2/SiO2 aerogels (FA20) @ 1000C,Ren et al.,Preparation and characterization of high surface area ZrO2 aerogel modified by SiO2,2015,20,9,sol-gel,,zirconium(IV) oxynitrate hydrate,0.3,,,ethanol,,water,tetraethoxysilane,,formamide,0.6,polyethylene glycol 400,0.3,propylene oxide,1.8,,60,,,,,ethanol,3,0.5,,"ethanol, tetraethoxysilane",1,,,ethanol,3,0.5,,,,,,,ambient pressure drying,,60,,0.101,48 - 96,,,,,,,,1000,120,5,,,Yes,"S4800, Hitachi, Japan","Morphologies, microstructure",,,,Yes,"Tecnai G2 F20, FEI, Holland","Morphologies, microstructure",No,,,,Yes,"OMNISORP100CX, Bechman Coulter, USA",Meso and micropores,,,100,,,Yes,Surface area/pore size distibution,Yes,"Axis Ultra DLD, Kratos, UK","Hemispherical e- energy analyzer, monochromatic Al Kα X-ray radiation",Chemical states of O2 atoms,Yes,"Empyrean 200895 PANalytical B.V., Holland",,Crystalline phase,,,,,,,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,tetragonal,,272
"core–shell ZrO2/SiO2 aerogels (FA25), as-dried",Ren et al.,Preparation and characterization of high surface area ZrO2 aerogel modified by SiO2,2015,20,9,sol-gel,,zirconium(IV) oxynitrate hydrate,0.3,,,ethanol,,water,tetraethoxysilane,,formamide,0.75,polyethylene glycol 400,0.3,propylene oxide,1.8,,60,,16,,,ethanol,3,0.5,,"ethanol, tetraethoxysilane",1,,,ethanol,3,0.5,,,,,,,ambient pressure drying,,60,,0.101,48 - 96,,,,,,,,,,,,as-dried,Yes,"S4800, Hitachi, Japan","Morphologies, microstructure",,,,Yes,"Tecnai G2 F20, FEI, Holland","Morphologies, microstructure",No,,,,Yes,"OMNISORP100CX, Bechman Coulter, USA",Meso and micropores,,,100,,,Yes,Surface area/pore size distibution,Yes,"Axis Ultra DLD, Kratos, UK","Hemispherical e- energy analyzer, monochromatic Al Kα X-ray radiation",Chemical states of O2 atoms,Yes,"Empyrean 200895 PANalytical B.V., Holland",,Crystalline phase,,,,,,,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,mesoporous,,,12.4,,520,0.202,,amorphous,Density is bulk density of the largest concentration.,273
core–shell ZrO2/SiO2 aerogels (FA25) @ 1000C,Ren et al.,Preparation and characterization of high surface area ZrO2 aerogel modified by SiO2,2015,20,9,sol-gel,,zirconium(IV) oxynitrate hydrate,0.3,,,ethanol,,water,tetraethoxysilane,,formamide,0.75,polyethylene glycol 400,0.3,propylene oxide,1.8,,60,,16,,,ethanol,3,0.5,,"ethanol, tetraethoxysilane",1,,,ethanol,3,0.5,,,,,,,ambient pressure drying,,60,,0.101,48 - 96,,,,,,,,1000,120,5,,,Yes,"S4800, Hitachi, Japan","Morphologies, microstructure",,,,Yes,"Tecnai G2 F20, FEI, Holland","Morphologies, microstructure",No,,,,Yes,"OMNISORP100CX, Bechman Coulter, USA",Meso and micropores,,,100,,,Yes,Surface area/pore size distibution,Yes,"Axis Ultra DLD, Kratos, UK","Hemispherical e- energy analyzer, monochromatic Al Kα X-ray radiation",Chemical states of O2 atoms,Yes,"Empyrean 200895 PANalytical B.V., Holland",,Crystalline phase,,,,,,,No,,,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,No,,,,,,,,,,,,,,tetragonal,,274
"Rare-earth Zirconate aerogel, La (LZA)",Torres-Rodriguez et al. ,"Rare-earth zirconate Ln2Zr2O7 (Ln: La, Nd, Gd, and Dy) powders, xerogels, and aerogels: preparation, structure, and properties",2019,58,1,sol-gel,,zirconium(IV) propoxide,0.4,lanthanum(III) nitrate hexahydrate,0.4,n-propanol,12.4,,,,,,,,nitric acid,0.4,,,,,,,,,,,"n-propanol, acetone",5,1,20,,,,,,,,,Washing until pure acetone only,supercritical Drying,carbon dioxide,45,,10,3,,,,,,,,1000,300,,,,Yes,"460L Verios (FEI, Czech Republic)",Microstructure,,,,No,,,,,,,Yes,"Autosorb iQ (Quantach- rome Instruments, Boynton Beach, FL, USA)","Surface area, micropore volume",,,180,720,Vacuum,"Yes, BET/BJH","Surface area, micropore volume",No,,,,Yes,"X-ray diffractometer (Rigaku, Japan)",Cu Kα,Crystal structure,20 - 65,0.02,0.1,1.5406,40,30,No,,,,,,"Yes, with DSC/MS",Netzsch STA 409c/CD,Mass loss with temperature change,20 - 1400,Synthetic air,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,"Yes, Non-polarized",Horiba T64000 Raman spectrometer equipped,,488 nm line of a Coherent Innova Spectrum 70C Ar+−Kr+ laser,0.6,,mesoporous,,1,40,70,100,,,"tetragonal, cubic",Average pore diameter is given in nm,275
"Rare-earth Zirconate aerogel, Nd (NZA)",Torres-Rodriguez et al. ,"Rare-earth zirconate Ln2Zr2O7 (Ln: La, Nd, Gd, and Dy) powders, xerogels, and aerogels: preparation, structure, and properties",2019,58,1,sol-gel,,zirconium(IV) propoxide,0.4,neodymium(III) nitrate hexahydrate,0.4,n-propanol,12.4,,,,,,,,nitric acid,0.4,,,,,,,,,,,"n-propanol, acetone",5,1,20,,,,,,,,,,supercritical Drying,carbon dioxide,45,,10,3,,,,,,,,1000,300,,,,Yes,"460L Verios (FEI, Czech Republic)",Microstructure,,,,No,,,,,,,Yes,"Autosorb iQ (Quantach- rome Instruments, Boynton Beach, FL, USA)","Surface area, micropore volume",,,180,720,Vacuum,"Yes, BET/BJH","Surface area, micropore volume",No,,,,Yes,"X-ray diffractometer (Rigaku, Japan)",Cu Kα,Crystal structure,20 - 65,0.02,0.1,1.5406,40,30,No,,,,,,"Yes, with DSC/MS",Netzsch STA 409c/CD,Mass loss with temperature change,20 - 1400,Synthetic air,10,No,,,No,,,,No,,,No,,,,,,No,,,,,No,,,,No,,,No ,,,"Yes, Non-polarized",Horiba T64000 Raman spectrometer equipped,,488 nm line of a Coherent Innova Spectrum 70C Ar+−Kr+ laser,0.6,,mesoporous,,1.02,39.9,70,102,,,"tetragonal, cubic",Exchange with acetone (initial liquid),276
