,Formation Method,Si Precursor,Si Precursor Concentration (M),Additional Si Co-Precursor(s),Si Co-Precursor Concentration (M),Hybrid Aerogel Co-Precursor,Co-Precursor Concentration (M),Dopant,Dopant Concentration (M),Solvent 1,Solvent 1 Concentration (M),Solvent 2,Solvent 2 Concentration (M),Additional Solvents,Acid Catalyst,Acid Catalyst Initial Concentration (M),Acid Catalyst concentration in Sol(M),Base Catalyst,Base Catalyst Initial Concentration(M),Base Catalyst concentration in Sol (M),Hydrolysis Time (hr),Modifier,Modifier Concentration (M),Modifier Solvent,Modifier Solvent (M),Molar Ratio (Modifier/Modifier Solvent),Volume % of Modifier in Solvent,Volume Ratio (Modifier/Modifier Solvent/Additional Solvents),Surfactant,Surfactant Concentration (M),Sol 1,Sol 1 Stir rate (rpm),Sol 1 Stir Time (min),Sol 1 Standing time (hr),Sol 1 Temp (°C),pH Sol 1,Sol 2,Sol 2 Stir rate (rpm),Combined Sol Stir Time (min),Combined Sol 2 Standing time (hr),Sol 2 Temp (°C),pH Sol 2,Gelation Agent,pH final sol,Gelation Temp (°C),Gelation Pressure (MPa),Gelation Time (mins),Aging Conditions,Aging Temp (°C),Aging Time (hrs),Aging Conditions 2,Aging Temp 2 (°C),Aging Time 2 (hrs),Wash Solvent 1,Wash Times 1 (#),Wash Duration 1 (days),Wash Temp 1 (°C),Wash Solvent 2,Wash Times 2 (#),Wash Duration 2 (days),Wash Temp 2 (°C),Wash Solvent 3,Wash Times 3 (#),Wash Duration 3 (days),Wash Temp 3 (°C),Wash Solvent 4,Wash Times 4 (#),Wash Duration 4 (days),Wash Temp 4 (°C),Wash Solvent 5,Wash Times 5 (#),Wash Duration 5 (days),Wash Temp 5 (°C),Drying Method,Drying Solvent,Drying Temp (°C),Drying Pressure (MPa),Drying Time (hrs),Drying Method 2,Drying Temp 2 (°C),Drying Pressure 2 (MPa),Drying Time 2 (hrs),Drying Atmosphere 2,Drying Method 3,Drying Temp 3 (°C),Drying Time 3 (hrs),Drying Atmosphere 3,Drying Pressure 3 (MPa),Drying Temp 4 (°C),Drying Time 4 (hrs),Drying Pressure 4 (MPa),Drying Temp 5 (°C),Drying Time 5 (hrs),Drying Pressure 5 (MPa),Sintering Temp (°C),Sintering Time (min),Ramp Rate (°C/min),Porosity,Porosity (%),Pore Volume (cm3/g),Average Pore Diameter (nm),Surface Area (m2/g),Bulk Density (g/cm3),Young Modulus (MPa),Thermal Conductivity (W/mK),Crystalline Phase,Average Pore Size (nm),Nanoparticle Size (nm)
156,Sol-gel,Water Glass,,,,,,,,H2O,,,,,HCl,,,,,,,,,,,,,,,,"Water Glass, H2O, HCl",,,,20,,,,,,,,HCl,,20,0.101325,60,,20,48,,,,"Isopropanol, N-hexane",,,,N-hexane,3,,,,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,12,,,,,,,,,,,,,,,,,,,,,,0.08,3.23,98,,,,,,
157,Sol-gel,Water Glass,,,,,,,,H2O,,,,,HCl,,,,,,,TMCS,,,,,6.25,,,,"Water Glass, H2O, HCl",,,,20,,,,,,,,HCl,,20,0.101325,60,,20,48,,,,"Isopropanol, N-hexane",,,,"TMCS, N-hexane",1,1,,N-hexane,3,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,12,,,,,,,,,,,,,,,,,,,,Mesoporous,,4.15,35.11,473,,,,,,
158,Sol-gel,Water Glass,,,,,,,,H2O,,,,,HCl,,,,,,,TBC,0.0105,,,,,,,,"Water Glass, H2O, HCl",,,,20,,,,,,,,HCl,,20,0.101325,60,,20,48,,,,"MeOH, EtOH",,,,TBC,1,1,,Alcohol,5,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,12,Ambient Pressure Drying,60,0.101325,2,,,,,,,,,,,,,,,,Mesoporous,,1.77,22.9,308,,,,,,
159,Sol-gel,Water Glass,,,,,,,,H2O,,,,,HCl,,,,,,,"TBC, HA",,,,"1, 5",,,,,"Water Glass, H2O, HCl",,,,20,,,,,,,,HCl,,20,0.101325,60,,20,48,,,,"MeOH, EtOH",,,,"TBC, HA",1,1,,Alcohol,5,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,12,Ambient Pressure Drying,60,0.101325,2,,,,,,,,,,,,,,,,Mesoporous,,2.13,25.02,340,,,,,,
160,Sol-gel,Water Glass,,,,,,,,H2O,,,,,HCl,,,,,,,"TBC, PDA",,,,,,,,,"Water Glass, H2O, HCl",,,,20,,,,,,,,HCl,,20,0.101325,60,,20,48,,,,"MeOH, EtOH",,,,"TBC, PDA",1,1,,Alcohol,5,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,12,Ambient Pressure Drying,60,0.101325,2,,,,,,,,,,,,,,,,Mesoporous,,2.14,22.82,375,,,,,,
161,Sol-gel,Water Glass,,,,,,,,H2O,,,,,HCl,,,,,,,"TBC, HA, PDA",,,,,,,,,"Water Glass, H2O, HCl",,,,20,,,,,,,,HCl,,20,0.101325,60,,20,48,,,,"MeOH, EtOH",,,,"TBC, HA, PDA",1,1,,Alcohol,5,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,12,Ambient Pressure Drying,60,0.101325,2,,,,,,,,,,,,,,,,Mesoporous,,1.93,20.52,377,,,,,,
162,Sol-gel,TEOS,,,,,,,,Isopropanol,,H2O,,,HCl,0.01,,NH4OH,10,,,,,,,,,,,,"TEOS, Isopropanol, HCl",300,60,24,20,,NH4OH,,4,,20,,,,,,,MeOH,,,,,,Isopropanol,,,50,,,,,,,,,,,,,,,,,Supercritical Drying,CO2,60,9,,,,,,,,,,,,,,,,,,,,,Mesoporous,,8.45,2.06,975.7,0.024,,,,,
163,Sol-gel,TEOS,,,,PTPES,,,,Isopropanol,,H2O,,,HCl,0.01,,NH4OH,10,,,,,,,,,,,,"TEOS, Isopropanol, HCl",300,60,24,20,,"PTPES, NH4OH",,5,,20,,,,,,,MeOH,,,,,,Isopropanol,,,50,,,,,,,,,,,,,,,,,Supercritical Drying,CO2,60,9,,,,,,,,,,,,,,,,,,,,,Mesoporous,,16.56,3.757,907.2,0.035,,,,,
164,Sol-gel,TEOS,,,,PTPES,,,,Isopropanol,,H2O,,,HCl,0.01,,NH4OH,10,,,,,,,,,,,,"TEOS, Isopropanol, HCl",300,60,24,20,,"PTPES, NH4OH",,5,,20,,,,,,,MeOH,,,,,,Isopropanol,,,50,,,,,,,,,,,,,,,,,Supercritical Drying,CO2,60,9,,,,,,,,,,,,,,,,,,,,,Mesoporous,,20.99,3.988,760.1,0.044,,,,,
165,Sol-gel,TEOS,,,,PTPES,,,,Isopropanol,,H2O,,,HCl,0.01,,NH4OH,10,,,,,,,,,,,,"TEOS, Isopropanol, HCl",300,60,24,20,,"PTPES, NH4OH",,5,,20,,,,,,,MeOH,,,,,,Isopropanol,,,50,,,,,,,,,,,,,,,,,Supercritical Drying,CO2,60,9,,,,,,,,,,,,,,,,,,,,,Mesoporous,,34.92,5.56,636.8,0.048,,,,,
166,Sol-gel,TEOS,,,,PTPES,,,,Isopropanol,,H2O,,,HCl,0.01,,NH4OH,10,,,,,,,,,,,,"TEOS, Isopropanol, HCl",300,60,24,20,,"PTPES, NH4OH",,5,,20,,,,,,,MeOH,,,,,,Isopropanol,,,50,,,,,,,,,,,,,,,,,Supercritical Drying,CO2,60,9,,,,,,,,,,,,,,,,,,,,,Mesoporous,,20.55,2.161,521.8,0.084,,,,,
167,Sol-gel,TEOS,,,,PTPES,,,,Isopropanol,,H2O,,,HCl,0.01,,NH4OH,10,,,,,,,,,,,,"TEOS, Isopropanol, HCl",300,60,24,20,,"PTPES, NH4OH",,5,,20,,,,,,,MeOH,,,,,,Isopropanol,,,50,,,,,,,,,,,,,,,,,Supercritical Drying,CO2,60,9,,,,,,,,,,,,,,,,,,,,,Mesoporous,,13.88,1.81,420.5,0.096,,,,,
168,Sol-gel,OTS,3.988,,,Ethoxy-polysiloxane,,,,EtOH,,H2O,,,,,,NaOH,,0.305,,TMCS,,,,,,,,,"Ethoxy-polysiloxane, OTS, EtOH, H2O",,15,,,,NaOH,,5,,,,,,40,,,,50,48,,,,N-hexane,3,,,,,,,TMCS,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,4,,,,,,,,,,,,,,,,,,,,Mesoporous,90,2.21,16,476.3,0.221,3.65,,,,
169,Sol-gel,OTS,1.532,,,Ethoxy-polysiloxane,,,,EtOH,,H2O,,,,,,NaOH,,0.196,,TMCS,,,,,,,,,"Ethoxy-polysiloxane, OTS, EtOH, H2O",,15,,,,NaOH,,5,,,,,,40,,,,50,48,,,,N-hexane,3,,,,,,,TMCS,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,4,,,,,,,,,,,,,,,,,,,,Mesoporous,89.7,3.44,23,542.3,0.227,3.48,,,,
170,Sol-gel,OTS,0.495,,,Ethoxy-polysiloxane,,,,EtOH,,H2O,,,,,,NaOH,,0.19,,TMCS,,,,,,,,,"Ethoxy-polysiloxane, OTS, EtOH, H2O",,15,,,,NaOH,,5,,,,,,40,,,,50,48,,,,N-hexane,3,,,,,,,TMCS,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,4,,,,,,,,,,,,,,,,,,,,Mesoporous,89.8,3.55,24,582.7,0.225,1.34,,,,
171,Sol-gel,OTS,3.961,,,Ethoxy-polysiloxane,,,,EtOH,,H2O,,,,,,NaOH,,0.303,,TMCS,,,,,,,,,"Ethoxy-polysiloxane, OTS, EtOH, H2O",,15,,,,NaOH,,5,,,,,,40,,,,50,48,,,,N-hexane,3,,,,,,,TMCS,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,4,,,,,,,,,,,,,,,,,,,,Mesoporous,90.6,2.24,18,479.4,0.206,7.26,,,,
172,Sol-gel,OTS,1.489,,,Ethoxy-polysiloxane,,,,EtOH,,H2O,,,,,,NaOH,,0.19,,TMCS,,,,,,,,,"Ethoxy-polysiloxane, OTS, EtOH, H2O",,15,,,,NaOH,,5,,,,,,40,,,,50,48,,,,N-hexane,3,,,,,,,TMCS,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,4,,,,,,,,,,,,,,,,,,,,Mesoporous,90.7,3.58,26,551.6,0.204,4.15,,,,
173,Sol-gel,OTS,0.502,,,Ethoxy-polysiloxane,,,,EtOH,,H2O,,,,,,NaOH,,0.192,,TMCS,,,,,,,,,"Ethoxy-polysiloxane, OTS, EtOH, H2O",,15,,,,NaOH,,5,,,,,,40,,,,50,48,,,,N-hexane,3,,,,,,,TMCS,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,4,,,,,,,,,,,,,,,,,,,,Mesoporous,90.5,3.53,26,629.3,0.21,1.17,,,,
174,Sol-gel,OTS,3.93,,,Ethoxy-polysiloxane,,,,EtOH,,H2O,,,,,,NaOH,,0.301,,TMCS,,,,,,,,,"Ethoxy-polysiloxane, OTS, EtOH, H2O",,15,,,,NaOH,,5,,,,,,40,,,,50,48,,,,N-hexane,3,,,,,,,TMCS,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,4,,,,,,,,,,,,,,,,,,,,Mesoporous,91.5,2.28,19,546.5,0.188,8.2,,,,
175,Sol-gel,OTS,1.477,,,Ethoxy-polysiloxane,,,,EtOH,,H2O,,,,,,NaOH,,0.189,,TMCS,,,,,,,,,"Ethoxy-polysiloxane, OTS, EtOH, H2O",,15,,,,NaOH,,5,,,,,,40,,,,50,48,,,,N-hexane,3,,,,,,,TMCS,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,4,,,,,,,,,,,,,,,,,,,,Mesoporous,90.5,3.6,26,557.5,0.208,4.55,,,,
176,Sol-gel,OTS,0.49,,,Ethoxy-polysiloxane,,,,EtOH,,H2O,,,,,,NaOH,,0.188,,TMCS,,,,,,,,,"Ethoxy-polysiloxane, OTS, EtOH, H2O",,15,,,,NaOH,,5,,,,,,40,,,,50,48,,,,N-hexane,3,,,,,,,TMCS,,,,,,,,,,,,Ambient Pressure Drying,,20,0.101325,4,,,,,,,,,,,,,,,,,,,,Mesoporous,90.9,3.63,27,632.9,0.201,2.35,,,,
177,"Sol-gel, Solvothermal Reaction",Water Glass,,,,BC,,,,H2O,,KOH,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"1, 10",,,"Water Glass, H2O",,,,,2,"BC, KOH, H2O",,,6,90,,,6,,,,,,0.3333,,20,2,"TMCS, N-hexane",1,"1, 3",,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,80,0.101325,2,Ambient Pressure Drying,100,0.101325,2,,Ambient Pressure Drying,150,2,,0.101325,,,,,,,500,120,,Mesoporous,,0.2,,222,,,,,,
178,"Sol-gel, Solvothermal Reaction",Water Glass,,,,BC,,,,H2O,,KOH,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"1, 10",,,"Water Glass, H2O",,,,,2,"BC, KOH, H2O",,,6,90,,,6,,,,,,0.3333,,20,2,WO3-TiO2,1,1,,EtOH,1,0.125,120,"TMCS, N-hexane",1,"1, 3",,,,,,,,,,Ambient Pressure Drying,,80,0.101325,2,Ambient Pressure Drying,100,0.101325,2,,Ambient Pressure Drying,150,2,,0.101325,,,,,,,500,120,,Mesoporous,,,,,,,,,,4.8
179,"Sol-gel, Solvothermal Reaction",Water Glass,,,,BC,,,,H2O,,KOH,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"1, 10",,,"Water Glass, H2O",,,,,2,"BC, KOH, H2O",,,6,90,,,6,,,,,,0.3333,,20,2,WO3-TiO2,1,1,,EtOH,1,0.125,150,"TMCS, N-hexane",1,"1, 3",,,,,,,,,,Ambient Pressure Drying,,80,0.101325,2,Ambient Pressure Drying,100,0.101325,2,,Ambient Pressure Drying,150,2,,0.101325,,,,,,,500,120,,Mesoporous,,,,,,,,,,5.9
180,"Sol-gel, Solvothermal Reaction",Water Glass,,,,BC,,,,H2O,,KOH,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"1, 10",,,"Water Glass, H2O",,,,,2,"BC, KOH, H2O",,,6,90,,,6,,,,,,0.3333,,20,2,WO3-TiO2,1,1,,EtOH,1,0.020833333333333,180,"TMCS, N-hexane",1,"1, 3",,,,,,,,,,Ambient Pressure Drying,,80,0.101325,2,Ambient Pressure Drying,100,0.101325,2,,Ambient Pressure Drying,150,2,,0.101325,,,,,,,500,120,,Mesoporous,,,,,,,,,,4.8
181,"Sol-gel, Solvothermal Reaction",Water Glass,,,,BC,,,,H2O,,KOH,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"1, 10",,,"Water Glass, H2O",,,,,2,"BC, KOH, H2O",,,6,90,,,6,,,,,,0.3333,,20,2,WO3-TiO2,1,1,,EtOH,1,0.125,180,"TMCS, N-hexane",1,"1, 3",,,,,,,,,,Ambient Pressure Drying,,80,0.101325,2,Ambient Pressure Drying,100,0.101325,2,,Ambient Pressure Drying,150,2,,0.101325,,,,,,,500,120,,Mesoporous,,2.7,,729,,,,,,7.2
182,"Sol-gel, Solvothermal Reaction",Water Glass,,,,BC,,,,H2O,,KOH,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"1, 10",,,"Water Glass, H2O",,,,,2,"BC, KOH, H2O",,,6,90,,,6,,,,,,0.3333,,20,2,WO3-TiO2,1,1,,EtOH,1,0.5,180,"TMCS, N-hexane",1,"1, 3",,,,,,,,,,Ambient Pressure Drying,,80,0.101325,2,Ambient Pressure Drying,100,0.101325,2,,Ambient Pressure Drying,150,2,,0.101325,,,,,,,500,120,,Mesoporous,,,,,,,,,,9.5
183,"Sol-gel, Solvothermal Reaction",Water Glass,,,,,,,,H2O,,,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"1, 10",,,"Water Glass, H2O",,,,,,,,,,,,,6,,,,,,0.3333,,20,2,"TMCS, N-hexane",1,"1, 3",,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,80,0.101325,2,Ambient Pressure Drying,100,0.101325,2,,Ambient Pressure Drying,150,2,,0.101325,,,,,,,500,120,,Mesoporous,,0.69,,312,,,,,,
184,"Sol-gel, Solvothermal Reaction",Water Glass,,,,,,,,H2O,,,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"1, 10",,,"Water Glass, H2O",,,,,,,,,,,,,6,,,,,,0.3333,,20,2,WO3-TiO2,1,1,,EtOH,1,0.020833333333333,150,"TMCS, N-hexane",1,"1, 3",,,,,,,,,,Ambient Pressure Drying,,80,0.101325,2,Ambient Pressure Drying,100,0.101325,2,,Ambient Pressure Drying,150,2,,0.101325,,,,,,,500,120,,Mesoporous,,1.05,,267,,,,,,
185,"Sol-gel, Solvothermal Reaction",Water Glass,,,,BC,,,,H2O,,KOH,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"1, 10",,,"Water Glass, H2O",,,,,2,"BC, KOH, H2O",,,6,90,,,6,,,,,,0.3333,,20,2,WO3-TiO2,1,1,,EtOH,1,0.020833333333333,150,"TMCS, N-hexane",1,"1, 3",,,,,,,,,,Ambient Pressure Drying,,80,0.101325,2,Ambient Pressure Drying,100,0.101325,2,,Ambient Pressure Drying,150,2,,0.101325,,,,,,,500,120,,Mesoporous,,0.78,,364,,,,,,
186,"Sol-gel, Solvothermal Reaction",Water Glass,,,,BC,,,,H2O,,KOH,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"1, 10",,,"Water Glass, H2O",,,,,2,"BC, KOH, H2O",,,6,90,,,6,,,,,,0.3333,,20,2,WO3-TiO2,1,1,,EtOH,1,0.041666666666667,120,"TMCS, N-hexane",1,"1, 3",,,,,,,,,,Ambient Pressure Drying,,80,0.101325,2,Ambient Pressure Drying,100,0.101325,2,,Ambient Pressure Drying,150,2,,0.101325,,,,,,,500,120,,Mesoporous,,1.46,,480,,,,,,
187,"Sol-gel, Solvothermal Reaction",Water Glass,,,,BC,,,,H2O,,KOH,,,,,,NH4OH,2,,,TMCS,,N-hexane,,,,"1, 10",,,"Water Glass, H2O",,,,,2,"BC, KOH, H2O",,,6,90,,,6,,,,,,0.3333,,20,2,WO3-TiO2,1,1,,EtOH,1,0.041666666666667,180,"TMCS, N-hexane",1,"1, 3",,,,,,,,,,Ambient Pressure Drying,,80,0.101325,2,Ambient Pressure Drying,100,0.101325,2,,Ambient Pressure Drying,150,2,,0.101325,,,,,,,500,120,,Mesoporous,,1.65,,461,,,,,,
188,Sol-gel,Water Glass,,,,,,,,H2O,0.194,HCl,0.029,EtOH,,,,Water Glass,,,,HMDSO,,HCl,0.029,,,,,,"Water Glass, H2O, HCl",,,,,1,"EtOH, Water Glass, H2O",,,,,,,6,,,10,,,,,,,"HCl, HMDSO",1,0.166666666666667,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,100,0.101325,1,,,,,,,,,,,,,,,,,,,,Mesoporous,94.68,3.08,,531.35,0.117,,,,,
189,Sol-gel,Water Glass,,,,,,,,H2O,0.194,HCl,0.029,EtOH,,,,Water Glass,,,,HMDSO,,HCl,0.029,,,,,,"Water Glass, H2O, HCl",,,,,1,"EtOH, Water Glass, H2O",,,,,,,6,,,10,,,,,,,"HCl, HMDSO",1,0.166666666666667,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,100,0.101325,1,,,,,,,,,,,,,,,,,,,,Mesoporous,95.41,3.21,,603.86,0.101,,,,,
190,Sol-gel,Water Glass,,,,,,,,H2O,0.194,HCl,0.029,EtOH,,,,Water Glass,,,,HMDSO,,HCl,0.029,,,,,,"Water Glass, H2O, HCl",,,,,1,"EtOH, Water Glass, H2O",,,,,,,6,,,10,,,,,,,"HCl, HMDSO",1,0.166666666666667,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,100,0.101325,1,,,,,,,,,,,,,,,,,,,,Mesoporous,95.82,4.26,,872.36,0.092,,,,,
191,Sol-gel,Water Glass,,,,,,,,H2O,0.194,HCl,0.029,EtOH,,,,Water Glass,,,,HMDSO,,HCl,0.029,,,,,,"Water Glass, H2O, HCl",,,,,1,"EtOH, Water Glass, H2O",,,,,,,6,,,10,,,,,,,"HCl, HMDSO",1,0.166666666666667,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,100,0.101325,1,,,,,,,,,,,,,,,,,,,,Mesoporous,95.23,3.53,,619.47,0.105,,,,,
192,Sol-gel,Water Glass,,,,,,,,H2O,0.194,HCl,0.029,EtOH,,,,Water Glass,,,,HMDSO,,HCl,0.029,,,,,,"Water Glass, H2O, HCl",,,,,1,"EtOH, Water Glass, H2O",,,,,,,6,,,10,,,,,,,"HCl, HMDSO",1,0.166666666666667,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,100,0.101325,1,,,,,,,,,,,,,,,,,,,,Mesoporous,94.5,2.48,,569.38,0.121,,,,,
193,Sol-gel,Water Glass,,,,,,,,H2O,,HCl,,EtOH,,,,NH4OH,5,,,HMDSO,,HCl,,,,,,,"Water Glass, H2O, HCl",,,,,1,"EtOH, NH4OH",,,,,,,6,,,5,,,,,,,"HCl, HMDSO",1,0.166666666666667,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,100,0.101325,1,,,,,,,,,,,,,,,,,,,,,,,,872.36,0.092,,,,,
194,Sol-gel,Water Glass,,,,,,,,H2O,,,,EtOH,,,,NH4OH,5,,,HMDSO,,HCl,,,,,,,"Water Glass, H2O",,,,,3,"EtOH, NH4OH",,,,,,,6,,,5,,,,,,,"HCl, HMDSO",1,0.166666666666667,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,100,0.101325,1,,,,,,,,,,,,,,,,,,,,,,,,285.59,0.397,,,,,
195,Sol-gel,Water Glass,,,,,,,,H2O,,,,,,,,NH4OH,5,,,HMDSO,,HCl,,,,,,,"Water Glass, H2O",,,,,3,"H2O, NH4OH",,,,,,,6,,,5,,,,,,,"HCl, HMDSO",1,0.166666666666667,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,100,0.101325,1,,,,,,,,,,,,,,,,,,,,,,,,279.35,0.369,,,,,
196,Sol-gel,Water Glass,,,,,,,,H2O,,HCl,,,,,,NH4OH,5,,,HMDSO,,HCl,,,,,,,"Water Glass, H2O, HCl",,,,,1,"H2O, NH4OH",,,,,,,6,,,5,,,,,,,"HCl, HMDSO",1,0.166666666666667,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,100,0.101325,1,,,,,,,,,,,,,,,,,,,,,,,,773.91,0.098,,,,,
197,Sol-gel,Water Glass,,,,,,,,H2O,,,,,,,,NH4OH,5,,,HMDSO,,HCl,,,,,,,"Water Glass, H2O",,,,,3,NH4OH,,,,,,,6,,,5,,,,,,,"HCl, HMDSO",1,0.166666666666667,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,100,0.101325,1,,,,,,,,,,,,,,,,,,,,,,,,740.43,0.103,,,,,
198,Sol-gel,MTMS,,TEOS,,,,,,Isopropanol,,,,,HCl,3,,NH4OH,,,,,,,,,,,,,"MTMS, TEOS, Isopropanol",,5,,,,HCl,,5,1,50,,,,,,,,50,48,,,,,,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,12,Ambient Pressure Drying,80,0.101325,12,,,,,,,,,,,,,,,,Mesoporous,,,,937,0.28,,,,,
199,Sol-gel,MTMS,,"TEOS, TMMS",,,,,,Isopropanol,,,,,HCl,3,,NH4OH,,,,,,,,,,,,,"MTMS, TEOS, Isopropanol, TMMS",,20,,,,HCl,,5,1,50,,,,,,,,50,48,,,,,,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,12,Ambient Pressure Drying,80,0.101325,12,,,,,,,,,,,,,,,,Mesoporous,,,,857,0.257,,,Powder,,
200,Sol-gel,MTMS,,"TEOS, TMMS",,,,,,Isopropanol,,,,,HCl,3,,NH4OH,,,,,,,,,,,,,"MTMS, TEOS, Isopropanol, TMMS",,20,,,,HCl,,5,1,50,,,,,,,,50,48,,,,,,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,12,Ambient Pressure Drying,80,0.101325,12,,,,,,,,,,,,,,,,Mesoporous,,,,766,0.216,,,,,
201,Sol-gel,MTMS,,"TEOS, TMMS",,,,,,Isopropanol,,,,,HCl,3,,NH4OH,,,,,,,,,,,,,"MTMS, TEOS, Isopropanol, TMMS",,20,,,,HCl,,5,1,50,,,,,,,,50,48,,,,,,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,12,Ambient Pressure Drying,80,0.101325,12,,,,,,,,,,,,,,,,Mesoporous,,,,665,0.199,,,Monolithic,,
202,Sol-gel,MTMS,,"TEOS, TMMS",,,,,,Isopropanol,,,,,HCl,3,,NH4OH,,,,,,,,,,,,,"MTMS, TEOS, Isopropanol, TMMS",,20,,,,HCl,,5,1,50,,,,,,,,50,48,,,,,,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,12,Ambient Pressure Drying,80,0.101325,12,,,,,,,,,,,,,,,,Mesoporous,,,,551,0.12,,,,,
203,Sol-gel,MTMS,,"TEOS, TMMS",,,,,,Isopropanol,,,,,HCl,3,,NH4OH,,,,,,,,,,,,,"MTMS, TEOS, Isopropanol, TMMS",,20,,,,HCl,,5,1,50,,,,,,,,50,48,,,,,,,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,50,0.101325,12,Ambient Pressure Drying,80,0.101325,12,,,,,,,,,,,,,,,,Mesoporous,,,,424,0.116,,,,,
204,Sol-gel,MTMS,,,,,,,,EtOH,,H2O,,,Acetic Acid,0.1,,NH4OH,,,,,,,,,,,,,"MTMS, H2O, EtOH, Acetic Acid",,30,,35,,"NH4OH, EtOH",,10,,,,,,25,,5,,,,,,,EtOH,1,0.25,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,40,0.101325,6,,,,,,,,,,,,,,,,,,,,Mesoporous,,1.09,,403,0.148,,0.023,,,
205,Sol-gel,MTMS,,,,,,,,EtOH,,H2O,,,Acetic Acid,0.1,,NH4OH,,,,,,,,,,,,,"MTMS, H2O, EtOH, Acetic Acid",,30,,35,,"NH4OH, EtOH",,10,,,,,,25,,23,,,,,,,EtOH,1,0.25,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,40,0.101325,6,,,,,,,,,,,,,,,,,,,,Mesoporous,,1.41,,493,0.114,,0.019,,,
206,Sol-gel,MTMS,,,,,,,,EtOH,,H2O,,,Acetic Acid,0.1,,NH4OH,,,,,,,,,,,,,"MTMS, H2O, EtOH, Acetic Acid",,30,,35,,"NH4OH, EtOH",,10,,,,,,25,,74,,,,,,,EtOH,1,0.25,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,40,0.101325,6,,,,,,,,,,,,,,,,,,,,Mesoporous,,1.66,,502,0.088,,0.018,,,
207,Sol-gel,MTMS,,,,,,,,EtOH,,H2O,,,Acetic Acid,0.1,,NH4OH,,,,,,,,,,,,,"MTMS, H2O, EtOH, Acetic Acid",,30,,35,,"NH4OH, EtOH",,10,,,,,,25,,140,,,,,,,EtOH,1,0.25,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,40,0.101325,6,,,,,,,,,,,,,,,,,,,,Mesoporous,,1.65,,385,0.074,,0.021,,,
208,Sol-gel,MTMS,,,,,,,,EtOH,,H2O,,,Acetic Acid,0.1,,NH4OH,,,,,,,,,,,,,"MTMS, H2O, EtOH, Acetic Acid",,30,,35,,"NH4OH, EtOH",,10,,,,,,25,,236,,,,,,,EtOH,1,0.25,,,,,,,,,,,,,,,,,,Ambient Pressure Drying,,40,0.101325,6,,,,,,,,,,,,,,,,,,,,Mesoporous,,1.63,,314,0.064,,0.024,,,
